Model,AgentWins,RandomWins,WinRate
td_gammon_selfplay_340000.pth,7343,2657,0.7343
td_gammon_selfplay_370000.pth,7431,2569,0.7431
td_gammon_selfplay_685000.pth,7570,2430,0.757
td_gammon_selfplay_690000.pth,7601,2399,0.7601
td_gammon_selfplay_720000.pth,7617,2383,0.7617
td_gammon_selfplay_255000.pth,6898,3102,0.6898
td_gammon_selfplay_715000.pth,7572,2428,0.7572
td_gammon_selfplay_965000.pth,7609,2391,0.7609
td_gammon_selfplay_650000.pth,7421,2579,0.7421
td_gammon_selfplay_610000.pth,7457,2543,0.7457
td_gammon_selfplay_250000.pth,6962,3038,0.6962
td_gammon_selfplay_960000.pth,7605,2395,0.7605
td_gammon_selfplay_820000.pth,7566,2434,0.7566
td_gammon_selfplay_775000.pth,7470,2530,0.747
td_gammon_selfplay_25000.pth,7072,2928,0.7072
td_gammon_selfplay_220000.pth,6458,3542,0.6458
td_gammon_selfplay_20000.pth,6894,3106,0.6894
td_gammon_selfplay_135000.pth,6037,3963,0.6037
td_gammon_selfplay_125000.pth,6033,3967,0.6033
td_gammon_selfplay_90000.pth,5613,4387,0.5613
td_gammon_selfplay_395000.pth,7361,2639,0.7361
td_gammon_selfplay_405000.pth,7430,2570,0.743
td_gammon_selfplay_390000.pth,7333,2667,0.7333
td_gammon_selfplay_330000.pth,7385,2615,0.7385
td_gammon_selfplay_980000.pth,7675,2325,0.7675
td_gammon_selfplay_450000.pth,7387,2613,0.7387
td_gammon_selfplay_865000.pth,7609,2391,0.7609
td_gammon_selfplay_675000.pth,7536,2464,0.7536
td_gammon_selfplay_680000.pth,7579,2421,0.7579
td_gammon_selfplay_505000.pth,7447,2553,0.7447
td_gammon_selfplay_845000.pth,7535,2465,0.7535
td_gammon_selfplay_790000.pth,7526,2474,0.7526
td_gammon_selfplay_280000.pth,7100,2900,0.71
td_gammon_selfplay_310000.pth,7336,2664,0.7336
td_gammon_selfplay_805000.pth,7529,2471,0.7529
td_gammon_selfplay_415000.pth,7446,2554,0.7446
td_gammon_selfplay_510000.pth,7431,2569,0.7431
td_gammon_selfplay_115000.pth,5675,4325,0.5675
td_gammon_selfplay_55000.pth,6693,3307,0.6693
td_gammon_selfplay_905000.pth,7605,2395,0.7605
td_gammon_selfplay_600000.pth,7561,2439,0.7561
td_gammon_selfplay_800000.pth,7529,2471,0.7529
td_gammon_selfplay_745000.pth,7596,2404,0.7596
td_gammon_selfplay_560000.pth,7522,2478,0.7522
td_gammon_selfplay_570000.pth,7535,2465,0.7535
td_gammon_selfplay_290000.pth,7182,2818,0.7182
td_gammon_selfplay_660000.pth,7535,2465,0.7535
td_gammon_selfplay_700000.pth,7630,2370,0.763
td_gammon_selfplay_940000.pth,7629,2371,0.7629
td_gammon_selfplay_710000.pth,7626,2374,0.7626
td_gammon_selfplay_150000.pth,6004,3996,0.6004
td_gammon_selfplay_145000.pth,5941,4059,0.5941
td_gammon_selfplay_60000.pth,6630,3370,0.663
td_gammon_selfplay_185000.pth,5932,4068,0.5932
td_gammon_selfplay_120000.pth,5906,4094,0.5906
td_gammon_selfplay_455000.pth,7334,2666,0.7334
td_gammon_selfplay_575000.pth,7516,2484,0.7516
td_gammon_selfplay_165000.pth,5949,4051,0.5949
td_gammon_selfplay_5000.pth,6292,3707,0.6292
td_gammon_selfplay_315000.pth,7324,2676,0.7324
td_gammon_selfplay_350000.pth,7354,2646,0.7354
td_gammon_selfplay_625000.pth,7520,2480,0.752
td_gammon_selfplay_355000.pth,7315,2685,0.7315
td_gammon_selfplay_40000.pth,7433,2567,0.7433
td_gammon_selfplay_520000.pth,7549,2451,0.7549
td_gammon_selfplay_975000.pth,7664,2336,0.7664
td_gammon_selfplay_670000.pth,7624,2376,0.7624
td_gammon_selfplay_795000.pth,7546,2454,0.7546
td_gammon_selfplay_740000.pth,7496,2504,0.7496
td_gammon_selfplay_750000.pth,7532,2468,0.7532
td_gammon_selfplay_200000.pth,6244,3756,0.6244
td_gammon_selfplay_160000.pth,5903,4097,0.5903
td_gammon_selfplay_285000.pth,7215,2785,0.7215
td_gammon_selfplay_595000.pth,7594,2406,0.7594
td_gammon_selfplay_435000.pth,7352,2648,0.7352
td_gammon_selfplay_915000.pth,7648,2352,0.7648
td_gammon_selfplay_515000.pth,7500,2500,0.75
td_gammon_selfplay_810000.pth,7484,2516,0.7484
td_gammon_selfplay_70000.pth,6367,3633,0.6367
td_gammon_selfplay_65000.pth,6529,3471,0.6529
td_gammon_selfplay_545000.pth,7493,2507,0.7493
td_gammon_selfplay_400000.pth,7388,2612,0.7388
td_gammon_selfplay_365000.pth,7417,2583,0.7417
td_gammon_selfplay_630000.pth,7540,2460,0.754
td_gammon_selfplay_440000.pth,7373,2627,0.7373
td_gammon_selfplay_765000.pth,7506,2494,0.7506
td_gammon_selfplay_725000.pth,7649,2351,0.7649
td_gammon_selfplay_785000.pth,7600,2400,0.76
td_gammon_selfplay_555000.pth,7506,2494,0.7506
td_gammon_selfplay_195000.pth,6118,3882,0.6118
td_gammon_selfplay_815000.pth,7532,2468,0.7532
td_gammon_selfplay_300000.pth,7170,2830,0.717
td_gammon_selfplay_890000.pth,7637,2363,0.7637
td_gammon_selfplay_225000.pth,6789,3211,0.6789
td_gammon_selfplay_465000.pth,7344,2656,0.7344
td_gammon_selfplay_320000.pth,7338,2662,0.7338
td_gammon_selfplay_35000.pth,7567,2433,0.7567
td_gammon_selfplay_240000.pth,6801,3199,0.6801
td_gammon_selfplay_525000.pth,7510,2490,0.751
td_gammon_selfplay_585000.pth,7445,2555,0.7445
td_gammon_selfplay_530000.pth,7565,2435,0.7565
td_gammon_selfplay_460000.pth,7278,2722,0.7278
td_gammon_selfplay_755000.pth,7631,2369,0.7631
td_gammon_selfplay_970000.pth,7616,2384,0.7616
td_gammon_selfplay_335000.pth,7406,2594,0.7406
td_gammon_selfplay_990000.pth,7672,2328,0.7672
td_gammon_selfplay_920000.pth,7709,2291,0.7709
td_gammon_selfplay_925000.pth,7668,2332,0.7668
td_gammon_selfplay_45000.pth,7255,2745,0.7255
td_gammon_selfplay_760000.pth,7569,2431,0.7569
td_gammon_selfplay_955000.pth,7605,2395,0.7605
td_gammon_selfplay_230000.pth,6827,3173,0.6827
td_gammon_selfplay_275000.pth,7141,2859,0.7141
