Rank,Name,Rating,Uncertainty,Games
1,td_gammon_selfplay_110000,1820,30,10710
2,td_gammon_selfplay_105000,1801,30,10292
3,td_gammon_selfplay_190000,1763,30,9288
4,td_gammon_selfplay_95000,1761,30,11019
5,td_gammon_selfplay_135000,1758,30,9944
6,td_gammon_selfplay_85000,1756,30,11010
7,td_gammon_selfplay_160000,1753,30,8994
8,td_gammon_selfplay_145000,1747,30,9205
9,td_gammon_selfplay_180000,1744,30,7987
10,td_gammon_selfplay_165000,1742,30,9727
11,td_gammon_selfplay_140000,1740,30,8196
12,td_gammon_selfplay_120000,1725,30,11077
13,td_gammon_selfplay_100000,1724,30,10223
14,td_gammon_selfplay_185000,1720,30,9991
15,td_gammon_selfplay_175000,1706,30,8641
16,td_gammon_selfplay_195000,1703,30,10216
17,td_gammon_selfplay_125000,1693,30,8410
18,td_gammon_selfplay_205000,1691,30,7816
19,td_gammon_selfplay_80000,1690,30,6231
20,td_gammon_selfplay_130000,1686,30,9748
21,td_gammon_selfplay_115000,1685,30,10582
22,td_gammon_selfplay_70000,1685,30,5446
23,td_gammon_selfplay_155000,1682,30,9895
24,td_gammon_selfplay_220000,1681,30,5462
25,td_gammon_selfplay_0,1676,30,7979
26,td_gammon_selfplay_150000,1669,30,8820
27,td_gammon_selfplay_15000,1662,30,5698
28,td_gammon_selfplay_200000,1661,30,8199
29,td_gammon_selfplay_215000,1649,30,5946
30,td_gammon_selfplay_90000,1644,30,9908
31,td_gammon_selfplay_75000,1643,30,6688
32,td_gammon_selfplay_5000,1640,30,7045
33,td_gammon_selfplay_170000,1639,30,9442
34,td_gammon_selfplay_265000,1638,30,4731
35,td_gammon_selfplay_235000,1636,30,4879
36,td_gammon_selfplay_50000,1634,30,4745
37,td_gammon_selfplay_65000,1632,30,5811
38,td_gammon_selfplay_10000,1625,30,6013
39,td_gammon_selfplay_45000,1615,30,3257
40,td_gammon_selfplay_225000,1612,30,6032
41,td_gammon_selfplay_230000,1612,30,6131
42,td_gammon_selfplay_285000,1609,30,2714
43,td_gammon_selfplay_275000,1608,30,4525
44,td_gammon_selfplay_210000,1606,30,7305
45,td_gammon_selfplay_250000,1606,30,4458
46,td_gammon_selfplay_260000,1595,30,5272
47,td_gammon_selfplay_370000,1594,30,2839
48,td_gammon_selfplay_255000,1592,30,4287
49,td_gammon_selfplay_55000,1590,30,5015
50,td_gammon_selfplay_60000,1590,30,5030
51,td_gammon_selfplay_300000,1582,30,3999
52,td_gammon_selfplay_375000,1577,30,2958
53,td_gammon_selfplay_350000,1573,30,2770
54,td_gammon_selfplay_485000,1567,30,2472
55,td_gammon_selfplay_20000,1554,30,4960
56,td_gammon_selfplay_400000,1553,30,2830
57,td_gammon_selfplay_405000,1551,30,2888
58,td_gammon_selfplay_570000,1551,30,3179
59,td_gammon_selfplay_460000,1551,30,2661
60,td_gammon_selfplay_365000,1549,30,3361
61,td_gammon_selfplay_410000,1549,30,3277
62,td_gammon_selfplay_450000,1549,30,3375
63,td_gammon_selfplay_280000,1546,30,3365
64,td_gammon_selfplay_240000,1546,30,5679
65,td_gammon_selfplay_245000,1543,30,4814
66,td_gammon_selfplay_440000,1540,30,2761
67,td_gammon_selfplay_465000,1535,30,2648
68,td_gammon_selfplay_380000,1535,30,2453
69,td_gammon_selfplay_735000,1533,30,3484
70,td_gammon_selfplay_295000,1533,30,3441
71,td_gammon_selfplay_800000,1530,30,2671
72,td_gammon_selfplay_435000,1527,30,3155
73,td_gammon_selfplay_25000,1526,30,3640
74,td_gammon_selfplay_270000,1526,30,3889
75,td_gammon_selfplay_325000,1526,30,3219
76,td_gammon_selfplay_415000,1522,30,3147
77,td_gammon_selfplay_335000,1519,30,2790
78,td_gammon_selfplay_615000,1516,30,5010
79,td_gammon_selfplay_640000,1514,30,5179
80,td_gammon_selfplay_825000,1513,30,4694
81,td_gammon_selfplay_580000,1511,30,2356
82,td_gammon_selfplay_575000,1510,30,2264
83,td_gammon_selfplay_35000,1510,30,3230
84,td_gammon_selfplay_360000,1510,30,2407
85,td_gammon_selfplay_470000,1508,30,2436
86,td_gammon_selfplay_475000,1505,30,2468
87,td_gammon_selfplay_830000,1504,30,2454
88,td_gammon_selfplay_455000,1503,30,2682
89,td_gammon_selfplay_785000,1503,30,4635
90,td_gammon_selfplay_720000,1502,30,3268
91,td_gammon_selfplay_310000,1501,30,2592
92,td_gammon_selfplay_890000,1498,30,5727
93,td_gammon_selfplay_670000,1497,30,3427
94,td_gammon_selfplay_480000,1494,30,2857
95,td_gammon_selfplay_385000,1493,30,2742
96,td_gammon_selfplay_740000,1492,30,3330
97,td_gammon_selfplay_595000,1491,30,2965
98,td_gammon_selfplay_395000,1491,30,2861
99,td_gammon_selfplay_420000,1491,30,2923
100,td_gammon_selfplay_805000,1490,30,5287
101,td_gammon_selfplay_305000,1490,30,2950
102,td_gammon_selfplay_505000,1490,30,2570
103,td_gammon_selfplay_550000,1488,30,5387
104,td_gammon_selfplay_345000,1486,30,3790
105,td_gammon_selfplay_315000,1486,30,2875
106,td_gammon_selfplay_565000,1485,30,2562
107,td_gammon_selfplay_560000,1485,30,3221
108,td_gammon_selfplay_355000,1484,30,2533
109,td_gammon_selfplay_40000,1483,30,2508
110,td_gammon_selfplay_815000,1483,30,3723
111,td_gammon_selfplay_645000,1482,30,2410
112,td_gammon_selfplay_585000,1480,30,3024
113,td_gammon_selfplay_495000,1477,30,2602
114,td_gammon_selfplay_500000,1476,30,3348
115,td_gammon_selfplay_330000,1474,30,2787
116,td_gammon_selfplay_425000,1473,30,2652
117,td_gammon_selfplay_905000,1471,30,7383
118,td_gammon_selfplay_895000,1467,30,6981
119,td_gammon_selfplay_620000,1466,30,5324
120,td_gammon_selfplay_665000,1461,30,3503
121,td_gammon_selfplay_790000,1459,30,3252
122,td_gammon_selfplay_340000,1458,30,2628
123,td_gammon_selfplay_430000,1457,30,2547
124,td_gammon_selfplay_545000,1456,30,2457
125,td_gammon_selfplay_605000,1456,30,2608
126,td_gammon_selfplay_520000,1453,30,2469
127,td_gammon_selfplay_880000,1453,30,5602
128,td_gammon_selfplay_655000,1453,30,6190
129,td_gammon_selfplay_510000,1452,30,3053
130,td_gammon_selfplay_30000,1451,30,3732
131,td_gammon_selfplay_845000,1449,30,3974
132,td_gammon_selfplay_715000,1447,30,2940
133,td_gammon_selfplay_490000,1447,30,3245
134,td_gammon_selfplay_610000,1440,30,2869
135,td_gammon_selfplay_835000,1439,30,2963
136,td_gammon_selfplay_290000,1438,30,3654
137,td_gammon_selfplay_555000,1438,30,3249
138,td_gammon_selfplay_675000,1437,30,2588
139,td_gammon_selfplay_885000,1436,30,6621
140,td_gammon_selfplay_840000,1436,30,4746
141,td_gammon_selfplay_390000,1435,30,3431
142,td_gammon_selfplay_795000,1431,30,4046
143,td_gammon_selfplay_685000,1430,30,4482
144,td_gammon_selfplay_445000,1430,30,2669
145,td_gammon_selfplay_630000,1430,30,3106
146,td_gammon_selfplay_530000,1430,30,3571
147,td_gammon_selfplay_855000,1429,30,5194
148,td_gammon_selfplay_680000,1426,30,4193
149,td_gammon_selfplay_660000,1426,30,2792
150,td_gammon_selfplay_650000,1422,30,3690
151,td_gammon_selfplay_625000,1421,30,2627
152,td_gammon_selfplay_540000,1419,30,4440
153,td_gammon_selfplay_635000,1414,30,2717
154,td_gammon_selfplay_775000,1403,30,2820
155,td_gammon_selfplay_770000,1403,30,2686
156,td_gammon_selfplay_980000,1402,30,8113
157,td_gammon_selfplay_700000,1398,30,5014
158,td_gammon_selfplay_865000,1395,30,4034
159,td_gammon_selfplay_590000,1394,30,2767
160,td_gammon_selfplay_870000,1393,30,4374
161,td_gammon_selfplay_525000,1393,30,2983
162,td_gammon_selfplay_990000,1393,30,9274
163,td_gammon_selfplay_970000,1389,30,7475
164,td_gammon_selfplay_920000,1385,30,9664
165,td_gammon_selfplay_760000,1383,30,4206
166,td_gammon_selfplay_860000,1374,30,3049
167,td_gammon_selfplay_925000,1374,30,7846
168,td_gammon_selfplay_320000,1370,30,3187
169,td_gammon_selfplay_965000,1370,30,8714
170,td_gammon_selfplay_705000,1370,30,4552
171,td_gammon_selfplay_900000,1361,30,5229
172,td_gammon_selfplay_850000,1357,30,3164
173,td_gammon_selfplay_725000,1356,30,6181
174,td_gammon_selfplay_710000,1356,30,4898
175,td_gammon_selfplay_955000,1356,30,8474
176,td_gammon_selfplay_765000,1352,30,4225
177,td_gammon_selfplay_535000,1350,30,2953
178,td_gammon_selfplay_515000,1349,30,3830
179,td_gammon_selfplay_745000,1347,30,3097
180,td_gammon_selfplay_750000,1346,30,4616
181,td_gammon_selfplay_820000,1340,30,5084
182,td_gammon_selfplay_780000,1330,30,4265
183,td_gammon_selfplay_875000,1326,30,5290
184,td_gammon_selfplay_935000,1324,30,7278
185,td_gammon_selfplay_695000,1322,30,3528
186,td_gammon_selfplay_810000,1320,30,3155
187,td_gammon_selfplay_995000,1313,30,8967
188,td_gammon_selfplay_755000,1310,30,3268
189,td_gammon_selfplay_975000,1304,30,9487
190,td_gammon_selfplay_915000,1296,30,9707
191,td_gammon_selfplay_930000,1289,30,7616
192,td_gammon_selfplay_985000,1288,30,11335
193,td_gammon_selfplay_690000,1285,30,3484
194,td_gammon_selfplay_960000,1277,30,7353
195,td_gammon_selfplay_600000,1272,30,3748
196,td_gammon_selfplay_950000,1260,30,10744
197,td_gammon_selfplay_910000,1252,30,4658
198,td_gammon_selfplay_945000,1246,30,7762
199,td_gammon_selfplay_940000,1245,30,9501
200,td_gammon_selfplay_730000,1224,30,5308
